"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bail","F"
"Hercules","Bernatsky","M"
"Hercules","Bernardinello","F"
"Hercules","Bodoff","M"
"Hercules","Benantar","F"
"Hercules","Basagni","M"
"Hercules","Baranowski","M"
"Hercules","Bisiani","F"
"Hercules","Benzmuller","M"
"Hercules","Biran","F"
"Hercules","Bahr","M"
"Hercules","Bain","F"
"Hercules","Buchter","M"
"Hercules","Brendel","F"
"Hercules","Baak","M"
"Hercules","Barreiro","M"
